sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
92;SDS011;16232;48.800;9.002;2023-01-01T00:00:15;25.03;;;22.33;;
92;SDS011;16232;48.800;9.002;2023-01-01T00:02:43;26.37;;;20.00;;
92;SDS011;16232;48.800;9.002;2023-01-01T00:05:11;24.67;;;19.97;;
92;SDS011;16232;48.800;9.002;2023-01-01T00:07:38;25.00;;;20.10;;
92;SDS011;16232;48.800;9.002;2023-01-01T00:10:06;22.67;;;19.83;;
92;SDS011;16232;48.800;9.002;2023-01-01T00:12:53;23.83;;;19.80;;
92;SDS011;16232;48.800;9.002;2023-01-01T00:15:21;26.77;;;21.20;;
92;SDS011;16232;48.800;9.002;2023-01-01T00:17:50;25.57;;;21.53;;
92;SDS011;16232;48.800;9.002;2023-01-01T00:20:17;27.40;;;22.50;;
92;SDS011;16232;48.800;9.002;2023-01-01T00:22:44;28.90;;;23.53;;
92;SDS011;16232;48.800;9.002;2023-01-01T00:25:12;28.80;;;23.70;;
92;SDS011;16232;48.800;9.002;2023-01-01T00:27:39;26.93;;;22.97;;
92;SDS011;16232;48.800;9.002;2023-01-01T00:30:07;29.83;;;24.30;;
92;SDS011;16232;48.800;9.002;2023-01-01T00:32:35;24.90;;;21.80;;
92;SDS011;16232;48.800;9.002;2023-01-01T00:35:04;23.77;;;20.80;;
92;SDS011;16232;48.800;9.002;2023-01-01T00:37:32;24.47;;;18.73;;
92;SDS011;16232;48.800;9.002;2023-01-01T00:39:59;19.43;;;17.30;;
92;SDS011;16232;48.800;9.002;2023-01-01T00:42:27;17.90;;;15.20;;
92;SDS011;16232;48.800;9.002;2023-01-01T00:44:54;18.40;;;13.83;;
92;SDS011;16232;48.800;9.002;2023-01-01T00:47:22;16.00;;;13.10;;
92;SDS011;16232;48.800;9.002;2023-01-01T00:49:49;15.17;;;12.67;;
92;SDS011;16232;48.800;9.002;2023-01-01T00:52:18;15.70;;;12.50;;
92;SDS011;16232;48.800;9.002;2023-01-01T00:54:46;14.87;;;12.83;;
92;SDS011;16232;48.800;9.002;2023-01-01T00:57:13;13.17;;;10.83;;
92;SDS011;16232;48.800;9.002;2023-01-01T00:59:40;15.53;;;10.73;;
92;SDS011;16232;48.800;9.002;2023-01-01T01:02:08;13.73;;;10.70;;
92;SDS011;16232;48.800;9.002;2023-01-01T01:04:35;13.27;;;11.03;;
92;SDS011;16232;48.800;9.002;2023-01-01T01:07:03;16.27;;;11.57;;
92;SDS011;16232;48.800;9.002;2023-01-01T01:09:31;12.47;;;10.83;;
92;SDS011;16232;48.800;9.002;2023-01-01T01:11:59;15.53;;;12.30;;
92;SDS011;16232;48.800;9.002;2023-01-01T01:14:26;17.23;;;12.10;;
92;SDS011;16232;48.800;9.002;2023-01-01T01:16:54;15.90;;;13.00;;
92;SDS011;16232;48.800;9.002;2023-01-01T01:19:21;15.57;;;12.60;;
92;SDS011;16232;48.800;9.002;2023-01-01T01:21:50;18.63;;;14.83;;
92;SDS011;16232;48.800;9.002;2023-01-01T01:24:17;17.00;;;14.43;;
92;SDS011;16232;48.800;9.002;2023-01-01T01:26:46;18.20;;;15.23;;
92;SDS011;16232;48.800;9.002;2023-01-01T01:29:13;18.80;;;14.73;;
92;SDS011;16232;48.800;9.002;2023-01-01T01:31:41;17.07;;;14.60;;
92;SDS011;16232;48.800;9.002;2023-01-01T01:34:08;17.13;;;14.13;;
92;SDS011;16232;48.800;9.002;2023-01-01T01:36:35;17.37;;;13.97;;
92;SDS011;16232;48.800;9.002;2023-01-01T01:39:03;16.17;;;13.87;;
92;SDS011;16232;48.800;9.002;2023-01-01T01:41:30;16.07;;;12.03;;
92;SDS011;16232;48.800;9.002;2023-01-01T01:44:00;16.80;;;11.57;;
92;SDS011;16232;48.800;9.002;2023-01-01T01:46:29;15.23;;;12.20;;
92;SDS011;16232;48.800;9.002;2023-01-01T01:48:58;13.77;;;11.70;;
92;SDS011;16232;48.800;9.002;2023-01-01T01:51:28;11.33;;;9.17;;
92;SDS011;16232;48.800;9.002;2023-01-01T01:53:58;9.17;;;8.13;;
92;SDS011;16232;48.800;9.002;2023-01-01T01:56:28;10.60;;;8.13;;
92;SDS011;16232;48.800;9.002;2023-01-01T01:58:56;10.30;;;7.57;;
92;SDS011;16232;48.800;9.002;2023-01-01T02:01:26;10.67;;;8.00;;
92;SDS011;16232;48.800;9.002;2023-01-01T02:03:56;12.27;;;8.87;;
92;SDS011;16232;48.800;9.002;2023-01-01T02:06:24;9.77;;;8.20;;
